"filename", "language", "Markdown", "JSON", "C#", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\appsettings.json", "JSON", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\package-lock.json", "JSON", 0, 39052, 0, 0, 0, 0, 1, 39053
"c:\Users\Airis\Desktop\Back\bin\Release\net6.0\package.json", "JSON", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Airis\Desktop\Back\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Airis\Desktop\Back\obj\Debug\net5.0\FobumCinema.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Debug\net5.0\FobumCinema.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\Airis\Desktop\Back\obj\Debug\net5.0\staticwebassets\FobumCinema.StaticWebAssets.xml", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\FobumCinema.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\FobumCinema.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\FobumCinema.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\FobumCinema.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\PresentConnection.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\PresentConnection.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\PresentConnection.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\project.razor.json", "JSON", 0, 18377, 0, 0, 0, 0, 0, 18377
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\staticwebassets.build.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\staticwebassets\msbuild.build.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\staticwebassets\msbuild.buildMultiTargeting.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Debug\net6.0\staticwebassets\msbuild.buildTransitive.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Airis\Desktop\Back\obj\Debug\netcoreapp3.1\FobumCinema.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Debug\netcoreapp3.1\FobumCinema.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Airis\Desktop\Back\obj\FobumCinema.csproj.nuget.dgspec.json", "JSON", 0, 130, 0, 0, 0, 0, 0, 130
"c:\Users\Airis\Desktop\Back\obj\FobumCinema.csproj.nuget.g.props", "XML", 0, 0, 0, 23, 0, 0, 0, 23
"c:\Users\Airis\Desktop\Back\obj\FobumCinema.csproj.nuget.g.targets", "XML", 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Airis\Desktop\Back\obj\PresentConnection.csproj.nuget.dgspec.json", "JSON", 0, 106, 0, 0, 0, 0, 0, 106
"c:\Users\Airis\Desktop\Back\obj\PresentConnection.csproj.nuget.g.props", "XML", 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\Airis\Desktop\Back\obj\PresentConnection.csproj.nuget.g.targets", "XML", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\FobumCinema.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\FobumCinema.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\FobumCinema.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\FobumCinema.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\staticwebassets.build.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\staticwebassets\msbuild.build.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\staticwebassets\msbuild.buildMultiTargeting.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\Release\net6.0\staticwebassets\msbuild.buildTransitive.FobumCinema.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Airis\Desktop\Back\obj\project.assets.json", "JSON", 0, 5181, 0, 0, 0, 0, 0, 5181
"c:\Users\Airis\Desktop\Back\package-lock.json", "JSON", 0, 39052, 0, 0, 0, 0, 1, 39053
"c:\Users\Airis\Desktop\Back\package.json", "JSON", 0, 45, 0, 0, 0, 0, 1, 46
"Total", "-", 6, 149693, 7810, 102, 67, 99, 2388, 160165
